game_id,n_guesses,time_to_win
1.0,10.0,66.0
2.0,33.0,307.0
3.0,8.0,46.0
4.0,14.0,110.0
5.0,37.0,308.0
6.0,14.0,107.0
7.0,17.0,179.0
8.0,14.0,95.0
9.0,20.0,154.0
10.0,23.0,175.0
11.0,12.0,77.14
